Product_name,Pricing,Ratings
Apple iPhone 11 (White| 128 GB),Rs.73600,4.7
Apple iPhone 11 (White| 64 GB),Rs.68300,4.7
Apple iPhone 7 Plus (Gold| 32 GB),Rs.36999,4.5
Tough Lee Tempered Glass Guard for Apple iPhone 7 Plus,Rs.152,3.8
Apple iPhone XR (Blue| 64 GB),Rs.52500,4.6
Apple iPhone 6s (Silver| 32 GB),Rs.24999,4.5
Apple iPhone XR (Coral| 128 GB),Rs.57800,4.6
Apple iPhone XR (Black| 64 GB),Rs.48799,4.6
Apple iPhone 11 (Purple| 128 GB),Rs.73600,4.7
Apple iPhone 11 Pro (Space Grey| 512 GB),Rs.140300,4.7
